Mivilorn,MM3,106,"Magical Beast (Chaotic, Extraplanar)",11,Huge
"Naga, Bone",MM2,35,Undead,11,Large
"Nightmare, Cauchemar",MM,194,"Outsider (Evil, Extraplanar)",11,Huge
"Nightmare, Cauchemar",MM,195,"Outsider (Evil, Extraplanar)",11,Huge
"Ooze Paraelemental, Elder",MP,183,"Elemental (Earth, Water)",11,Huge
Phiuhl,FF,135,Aberration (Extraplanar),11,Large
"Polar Bear, Dire",Fr,115,Animal,11,Huge
"Psurlon, Giant",LoM,164,Aberration,11,Large
Radiant Idol,Sh,180,Outsider (Native),11,Large
"Rakshasa, Naztharune",MM3,136,Outsider (Native),11,Medium
Retriever (Demon),MM,46,Construct (Extraplanar),11,Huge
"Sarkrith, Thane",FF,146,Monstrous Humanoid,11,Large
Shadurakul,FF,27,"Outsider (Evil, Extraplanar, Shapechanger)",11,Medium
Skindancer,MM3,158,Monstrous Humanoid,11,Large
"Smoke Paraelemental, Elder",MP,184,"Elemental (Air, Fire)",11,Huge
Spirit of the Air,FF,160,Magical Beast (Air),11,Large
"Swarm, Cranium Rat Greater Pack",FF,169,"Magical Beast (Extraplanar, Swarm of Diminutive ,Medium""Creatures)""",11,
"Taint Elemental, Greater",HH,146,Elemental (Evil),11,Huge
Tlalusk,Fr,157,Magical Beast (Cold),11,Huge
Troll Hunter,MM,248,Giant,11,Large
Ulgurstasta,FF,180,Undead,11,Gargantuan
"Varrangoin, Arcanist",FF,182,Magical Beast (Extraplanar),11,Medium
Wheep,LM,132,Undead,11,Medium
Wicker Man,FF,188,Construct,11,Huge
Woodling Druid,MM3,197,Humanoid (Human),11,Medium
Lilitu,FCI,43,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",12,Medium
Oaken Defender,MM4,106,Plant,12,Huge
Aspect of Bahamut,DM,108,Dragon (Extraplanar),12,Huge
Velroc,DM,123,Dragon,12,Large
Siege Golem,Ci,126,Construct,12,Gargantuan
Ayperobos Swarm,FCII,115,"Outsider (Baatezu, Evil, Extraplanar, Lawful, Swarm)",12,Diminutive
Envoy of Lolth,EDP,202,"Outsider (Chaotic, Evil, Extraplanar)",12,Large
Venom Ooze,DrU,148,Ooze,12,Large
Shadow Sea Serpent,An,151,Magical Beast,12,Huge
"Abeil, Queen",MM2,22,Monstrous Humanoid,12,Medium
Aspect of Nerull,MH,52,"Outsider (Evil, Extraplanar)",12,Large
Astral Stalker,MM3,12,Outsider,12,Medium
"Basilisk, Abyssal Greater",MM,24,"Outsider (Augmented Magical Beast, Extraplanar)",12,Large
Battle Horror,LE,176,Construct,12,Medium
"Black Pudding, Elder",MM,201,Ooze,12,Gargantuan
Bonespear,FF,24,Vermin (Extraplanar),12,Large
Cadavar Collector,MM3,22,Construct,12,Large
"Demon, Ghour",LE,168,"Outsider (Chaotic, Evil, Extraplanar)",12,Huge
"Demon, Ghour",Mon,33,"Outsider (Chaotic, Evil)",12,Huge
"Deva, Monadic",FF,56,"Outsider (Extraplanar, Good)",12,Medium
"Dinosaur, Seismosaurus",MM2,72,Animal,12,Colossal
"Displacer Beast, Pack Lord",MM,66,Magical Beast,12,Huge
"Doppelganger, Greater",Mon,35,Shapechanger,12,Medium
"Drake, Ooze",Dr,156,"Dragon (Aquatic, Earth, Water)",12,Large
Earth Glider,Und,84,"Outsider (Earth, Extraplanar, Evil)",12,Large
Entropic Reaper,LM,98,"Undead (Extraplanar, Chaotic)",12,Medium
Ethereal Slayer,MM2,96,"Outsider (Chaotic, Evil)",12,Medium
Firbolg,MM2,101,Giant,12,Large
Frost Worm,MM,111,Magical Beast (Cold),12,Huge
"Giant, Sun",MM2,110,Giant (Fire),12,Huge
"Golem, Diamond Gemstone",Mon,53,Construct,12,Large
"Golem, Dragonbone",Dr,164,Construct,12,Large
"Golem, Emerald Gemstone",Mon,53,Construct,12,Large
"Golem, Sand",Sa,182,Construct,12,Huge
Gorynych,LE,172,Dragon,12,Huge
Gulguthydra,Mon,58,Aberration,12,Huge
"Inevitable, Kolyarut",MM,159,"Construct (Extraplanar, Lawful)",12,Medium
Julajimas,MM2,133,Aberration,12,Huge
Kraken,MM,162,Magical Beast (Aquatic),12,Gargantuan
"Landwyrm, Hill",Dr,170,Dragon,12,Huge
Leonal,MM,142,"Outsider (Extraplanar, Good, Guradinal)",12,Medium
"Leonal, Celestial (Guardinal)",MP,162,Outsider (Good),12,Medium
"Mind Flayer, Ulitharid",LoM,158,Aberration,12,Large
"Mind Flayer, Ulitharid Psionic",LoM,159,Aberration (Psionic),12,Large
Moon Dog,BE,179,"Outsider (Extraplanar, Good)",12,Medium
Necrothane,MM3,143,Aberration,12,Medium
Night Twist,MM3,110,Plant,12,Large
"Nightshade, Nighthaunt",LE,185,Undead,12,Medium
Octopus Tree,FF,130,Plant,12,Huge
Ocularon,FF,132,Aberration,12,Large
"Oni, Ugulu no",OA,183,"Outsider (Evil, Shadowlands)",12,Large
Protean Scourge,MM3,126,Monstrous Humanoid (Shapechanger),12,Medium
Psion-Killer,XPH,208,Construct,12,Large
Purple Worm,MM,211,Magical Beast,12,Gargantuan
Rampager,MM2,177,Beast,12,Large
"Rhek, Chaosgrinder",BE,181,Monstrous Humanoid (Extraplanar),12,Medium
"Rilmani, Cuprilach",FF,142,Outsider (Extraplanar),12,Medium
Roper,MM,215,Magical Beast,12,Large
Skybleeder,FF,155,Aberration,12,Huge
Slaughterhouse Eviscerator,MM3,160,Construct (Earth),12,Large
Spellgaunt,MM2,188,Magical Beast,12,Large
"Sphinx, Crocosphinx",Sa,187,Magical Beast,12,Large
"Spider, Shadow",MM2,184,Magical Beast,12,Huge
"Swarm, Brood Keeper Larva",MM3,21,Magical Beast (Swarm),12,Tiny
Thunderbird,Sa,189,Magical Beast,12,Huge
"Troll, War",MM3,181,Monstrous Humanoid,12,Large
Valkyries' Mount,DD,201,Outsider,12,Large
"Weird, Air",MM2,91,Elemental (Air),12,Large
"Weird, Earth",MM2,91,Elemental (Earth),12,Large
"Weird, Fire",MM2,91,Elemental (Fire),12,Large
"Weird, Water",MM2,91,Elemental (Water),12,Large
"Wraith Spider, Colossal",CSQ,124,Undead,12,Colossal
Zeugalak,LoM,171,Aberration,12,Huge
Aspect of Tiamat,DM,110,Dragon (Extraplanar),13,Huge
"Demon, Oculus",EDP,200,"Outsider (Chaotic, Evil, Extraplanar)",13,Medium
Ken-Sun,MM5,49,Giant (Air),13,Large
Ember Guard,MM5,52,"Outsider (Evil, Extraplanar, Fire, Lawful)",13,Huge
Guulvorg,MM5,76,Magical Beast,13,Huge
Thoon Hulk,MM5,120,Construct,13,Large
Beholder,MM,25,Aberration,13,Large
"Beholder, Death Tyrant",FRCS,309,Undead,13,Large
Charnel Hound,MM3,26,Undead,13,Huge
"Dinosaur, Spinosaurus",MM2,72,Animal,13,Gargantuan
"Drake, Magma",Dr,155,"Dragon (Earth, Fire)",13,Large
"Elemental, Elder Shadow",TM,166,"Elemental (Extraplanar, Shadow)",13,Huge
"Ethergaunt, White",FF,67,Aberration (Extraplanar),13,Medium
"Eladrin, Ghaele",MM,94,"Outsider (Chaotic, Eladrin, Extraplanar, Good)",13,Medium
"Giant, Storm",MM,125,Giant,13,Huge
Glabrezu (Demon),MM,43,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",13,Huge
Golden Protector (Celestial Half-Dragon Lammasu),MM,166,Dragon,13,Large
"Golem, Dragonflesh",MM2,116,Construct,13,Large
"Golem, Hangman",MM3,69,Construct,13,Large
"Golem, Iron",MM,136,Construct,13,Large
"Goristro, Demon (Tanar'ri)",MP,164,"Outsider (Chaotic, Evil)",13,Huge
Grizzly Mastodon,MM2,123,Beast,13,Huge
Ice Devil (Gelugon),MM,56,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",13,Large
Ironmaw,FF,104,Plant (Extraplanar),13,Huge
Jarilith (Tanar'ri),MM2,60,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",13,Small
Justicator,MM3,85,Outsider (Lawful),13,Large
Kelubar (Demodand),FF,44,"Outsider (Evil, Extraplanar)",13,Medium
"Kython, Slaughterking",BV,181,Aberration,13,Large
Living Blasphemy,MM3,93,Ooze (Evil),13,Huge
Living Dictum,MM3,93,Ooze (Lawful),13,Huge
Living Holy Word,MM3,93,Ooze (Good),13,Huge
Living Word of Chaos,MM3,93,Ooze (Chaotic),13,Huge
Living Holocaust,FF,117,"Elemental (Air, Fire, Extraplanar)",13,Small
"Nycaloth, Yugoloth",MP,187,Outsider (Evil),13,Large
"Oni, Akuma no",OA,184,"Outsider (Evil, Shadowlands)",13,Large
"Oni, Kyoso no",OA,185,"Outsider (Evil, Shadowlands)",13,Large
"Ooze, Infernal Conflagration",MM3,31,"Ooze (Evil, Extraplanar, Fire)",13,Huge
"Rage Drake, Fiendish",MM3,131,Dragon,13,Large
Red Sundew,MM2,179,Plant,13,Huge
"Sarkrith, Spelleater",FF,145,Monstrous Humanoid,13,Large
Scyllan,Sto,157,"Outsider (Aquatic, Native)",13,Huge
"Slaad, Death",MM,231,"Outsider (Chaotic, Extraplanar)",13,Medium
Steel Predator,FF,163,Outsider,13,Large
Steel Predator,LF,45,Outsider,13,Large
"Swarm, Cinder",MM3,29,"Elemental (Fire, Swarm)",13,Fine
"Taint Elemental, Elder",HH,146,Elemental (Evil),13,Huge
"Terror, Ten-Headed",MM3,155,Aberration (Extraplanar),13,Large
Thought Slayer,XPH,212,Aberration (Psionic),13,Huge
"Toad, Titanic",MM2,218,Animal,13,Gargantuan
Tomb Tapper,LE,189,Construct,13,Large
"Topiary Guardian, Triceratops",MM3,174,Plant,13,Huge
"Unicorn, Celestial Charger",MM,250,Magical Beast,13,Large
Urophion,LoM,170,Aberration,13,Large
"Yugoloth, Ultraloth",MM3,204,"Outsider (Evil, Extraplanar, Yugoloth)",13,Medium
Spelleater,DM,119,Dragon,14,Huge
Malebranche,FCII,124,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",14,Huge
Mockery Monarch,MM5,126,Magical Beast,14,Large
Ruin Chanter,MM5,132,"Fey (Air, Earth)",14,Medium
Elder Spawn of Juiblex,MM5,163,"Elemental (Extraplanar, Water)",14,Gargantuan
Steelwing,MM5,168,Magical Beast (Extraplanar),14,Huge
Alkilith (Tanar'ri),FF,46,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",14,Medium
Angel,MM,10,"Outsider (Angel, Extraplanar, Good)",14,
"Archon, Trumpet",MM,18,"Outsider (Archon, Extraplanar, Good, Lawful)",14,Medium
Astral Deva (Angel),MM,11,"Outsider (Angel, Extraplanar, Good)",14,Medium
Blood Fiend,FF,47,Undead (Extraplanar),14,Medium
Boneyard,LM,89,Undead,14,Huge
"Demon, Blood Fiend",CSQ,116,Undead,14,Large
"Devil, Logokron",TM,265,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",14,Large
"Dragon, Ghostly Adult Green",Dr,161,Undead (Incorporeal),14,Huge
"Eladrin, Shiradi",BE,170,"Outsider (Chaotic, Eladrin, Extraplanar, Good)",14,Large
"Giant, Greater Dusk",HH,147,Giant,14,Huge
"Golem, Shadesteel Greater",MM3,73,Construct (Extraplanar),14,Large
"Hippopotamus, Dire",Sa,149,Animal,14,Huge
"Landwyrm, Tundra",Dr,174,Dragon,14,Huge
Laraken,ShS,66,Outsider (Extraplanar),14,Large
Nalfeshnee (Demon),MM,45,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",14,Huge
Necronaut,MM3,108,"Undead (Chaotic, Evil, Extraplanar)",14,Gargantuan
Nightwing,MM,197,Undead (Extraplanar),14,Huge
Odopi,MM3,114,"Aberration (Chaotic, Evil, Extraplanar)",14,Huge
"Oni, Yattoko no",OA,185,"Outsider (Evil, Shadowlands)",14,Huge
Ragewalker,MM3,132,Fey,14,Large
Rukarazyll,MM2,181,"Outsider (Earth, Extraplanar, Evil)",14,Large
Shirokinu-Katsukami,OA,191,"Outsider (Good, Lawful, Spirit)",14,Large
Siege Crag,MM3,156,Vermin (Aquatic),14,Gargantuan
"Spider, Jade",CSQ,121,Construct,14,Gargantuan
Sunwyrm,FF,164,Dragon,14,Large
Tomb Tapper,Mon,82,Construct,14,Huge
"Troll, Fell",Una,77,Giant,14,Huge
Tusked Behemoth,HB,156,Magical Beast,14,Gargantuan
"Umber Hulk, Truly Horrid ",MM,249,Aberration,14,Huge
Werewolf lord (Lycanthrope),MM,173,"Humanoid (Human, Shapechanger)",14,
Sibriex,FCI,52,"Outsider (Chaotic, Evil, Extraplanar, Obyrith)",15,Large
Cyclonic Ravager (Air Avatar),MM4,10,"Elemental (Air, Extraplanar)",15,Large
Holocaust Disciple (Fire Avatar),MM4,11,"Elemental (Extraplanar, Fire)",15,Large
Waterveiled Assassin (Water Avatar),MM4,13,"Elemental (Extraplanar, Water)",15,Large
Xerfilstyx,FCII,138,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",15,Large
Remmanon,MM5,34,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",15,Medium
Illurien,MM5,90,"Outsider (Evil, Extraplanar)",15,Large
Thoon Elder Brain,MM5,121,Aberration,15,Large
Angel of Decay,LM,83,Undead,15,Large
Annihilator,Und,79,Aberration,15,Medium
"Aoa, Sphere",FF,16,Outsider (Extraplanar),15,Huge
"Archon, Throne",BE,162,"Outsider (Archon, Extraplanar, Good, Lawful)",15,Large
Battlebriar,MM3,14,Plant,15,Huge
"Beholderkin, Overseer",LoM,139,Aberration,15,Large
Deathshrieker,MM3,32,Undead (Incorporeal),15,Medium
"Drake, Sea",FF,147,Dragon (Aquatic),15,Gargantuan
"Eidolon, Elder",LoM,146,Construct,15,Gargantuan
"Elemental Weird, Ice",Fr,126,"Elemental (Cold, Extraplanar, Water)",15,Large
"Elemental Weird, Snow",Fr,127,"Elemental (Air, Cold, Extraplanar)",15,Large
Ethereal Doppleganger,MM2,94,Shapechanger,15,Medium
"Fihyr, Greater",MM2,100,Aberration,15,Medium
"Giant, Eldritch",MM3,56,Giant,15,Huge
"Giant, Sand Champion",MM3,59,Giant,15,Large
"Golem, Drakestone",Dr,164,Construct,15,Large
Grisgol,MM3,76,Construct,15,Large
Hebi-No-Onna,OA,167,Monstrous Humanoid (Spirit),15,Medium
Hullathoin,FF,96,Undead,15,Huge
"Inevitable, Marut",MM,159,"Construct (Extraplanar, Lawful)",15,Large
Kuo-Toa Leviathan,Und,92,Monstrous Humanoid (Aquatic),15,Huge
Mummy Lord,MM,191,Undead,15,Medium
Neothelid,XPH,204,Aberration (Psionic),15,Gargantuan
Nightmare Beast,MM2,161,Magical Beast,15,Huge
Omnimental,MM3,118,"Elemental (Air, Earth, Extraplanar, Fire, Water)",15,Gargantuan
"Oni, Byoki no",OA,186,"Outsider (Evil, Shadowlands)",15,Large
"Oni, Gekido no",OA,187,"Outsider (Evil, Shadowlands)",15,Large
Phantasmal Slayer,HH,152,"Outsider (Evil, Incorporeal, Native)",15,Medium
"Rakshasa, Ak'chazar",MM3,134,Outsider (Native),15,Medium
Slaughterhouse Behemoth,MM3,159,Construct (Earth),15,Huge
Starwhale,AE,89,Magical Beast,15,Colossal
Tunnel Terror,FF,179,Aberration,15,Huge
Windghost,MM2,198,Aberration,15,Huge
Goristro,FCI,40,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",16,Huge
Ethereal Defiler,MM5,54,Aberration (Extraplanar),16,Large
Frostwind Virago,MM5,58,Fey,16,Medium
Malastor,MM5,100,Magical Beast,16,Gargantuan
Siege Beetle,MM5,152,Vermin (Extraplanar),16,Gargantuan
"Archon, Hound Hero",MM,17,"Outsider (Archon, Extraplanar, Good, Lawful)",16,Medium
Astral Kraken,PlH,109,Vermin (Extraplanar),16,Gargantuan
"Beholderkin, Hive Mother",LoM,135,Aberration,16,Huge
Brood Keeper,MM3,20,Magical Beast,16,Huge
Cloud Ray,MM2,49,Magical Beast,16,Colossal
Crystal Screamer,BB,41,Magical Beast,16,Gargantuan
"Dinosaur, Battletitan",MM3,38,Animal,16,Huge
Dream Vestige,LM,96,Undead (Incorporeal),16,Huge
Elite Demon War Mount,MM3,106,"Magical Beast (Chaotic, Extraplanar)",16,Huge
"Flame Snake, Greater",FF,75,Magical Beast (Fire),16,Huge
Ghargatula (Baatezu),BV,176,"Outsider (Baatezu, Evil, Lawful)",16,Medium
"Giant, Death",MM3,54,Giant,16,Huge
"Golem, Stone Greater",MM,137,Construct,16,Huge
Gravecrawler,MM2,118,Undead (Earth),16,Small
Horned Devil (Cornugon),MM,55,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",16,Large
Jahi,MM2,130,Undead (Incorporeal),16,Tiny
"Landwyrm, Jungle",Dr,171,Dragon,16,Huge
Moonbeast,MM2,149,Aberration,16,Huge
Nightwalker,MM,196,Undead (Extraplanar),16,Huge
"Oni, Tsuburu no",OA,187,"Outsider (Evil, Shadowlands)",16,Large
Planetar (Angel),MM,11,"Outsider (Angel, Extraplanar, Good)",16,Large
Protean Scourge Arcanist,MM3,127,Monstrous Humanoid (Shapechanger),16,Medium
Shator (Demodand),FF,45,"Outsider (Evil, Extraplanar)",16,Large
"Swarm, Abyssal Ant",FF,166,"Aberration (Extraplanar, Swarm of Diminutive Creatures)",16,Medium
Teratomorph,MM2,194,Ooze,16,Gargantuan
"Ultroloth, Yugoloth",MP,187,Outsider (Evil),16,Medium
Zodar,FF,199,Construct,16,Medium
Dalmosh,MM5,16,"Outsider (Chaotic, Evil, Extraplanar)",17,Gargantuan
Merchurion,MM5,102,Construct (Living Construct),17,Huge
Aboleth Mage,MM,8,Aberration (Aquatic),17,Huge
Astral Dreadnought,MP,159,Outsider,17,Gargantuan
Banshee,MM2,30,Undead (Incorporeal),17,Medium
"Cadavar Collector, Greater",MM3,23,Construct,17,Huge
Deathbringer,MM2,55,Undead,17,Large
"Demon, Sorrowsworn",MM3,36,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",17,Large
Disenchanter,FF,62,Magical Beast,17,Huge
"Drake, Storm",Dr,194,Dragon (Air),17,Gargantuan
Effigy,MM2,89,"Undead (Fire, Incorporeal)",17,Medium
Ethergaunt,FF,64,Aberration (Extraplanar),17,
"Ethergaunt, Black",FF,65,Aberration (Extraplanar),17,Medium
Formian Queen,MM,110,"Outsider (Lawful, Extraplanar)",17,Large
Frost Giant Jarl,MM,123,Giant (Cold),17,Large
"Golem, Hellfire",FF,88,Construct (Extraplanar),17,Large
"Golem, Ironwyrm",Dr,165,Construct,17,Large
"Inevitable, Quarut",FF,102,"Construct (Extraplanar, Lawful)",17,Medium
Lucent Worm,FF,118,Magical Beast,17,Gargantuan
Marilith (Demon),MM,44,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",17,Large
Maulgoth,FF,123,Aberration (Earth),17,Huge
Mind Flayer Sorcerer,MM,187,Aberration,17,Medium
"Monolith, Air",CAr,156,"Elemental (Air, Extraplanar)",17,Gargantuan
"Monolith, Earth",CAr,157,"Elemental (Earth, Extraplanar)",17,Gargantuan
"Monolith, Fire",CAr,158,"Elemental (Extraplanar, Fire)",17,Gargantuan
"Monolith, Water",CAr,158,"Elemental (Extraplanar, Water)",17,Gargantuan
Plague Brush,MM3,124,Plant (Extraplanar),17,Colossal
"Rilmani, Aurumach",FF,141,Outsider (Extraplanar),17,Large
Spectral Lurker,FF,158,Aberration (Incorporeal),17,Huge
"Swarm, Bronze Locust",BE,188,Construct (Swarm),17,Fine
"Vasuthant, Horrific",MM3,183,Undead,17,Huge
Vermin Lord,MM3,184,Monstrous Humanoid,17,Large
"Yugoloth, Arcanaloth",MM2,203,"Outsider (Evil, Extraplanar)",17,Medium
"Yugoloth, Nycaloth Commander",MM3,202,"Outsider (Evil, Extraplanar, Yugoloth)",17,Huge
Black Rock Triskelion (Earth Avatar),MM4,8,"Elemental (Earth, Extraplanar)",18,Large
Deathdrinker,MM4,40,"Outsider (Chaotic, Evil, Extraplanar",18,Huge
Paeliryon (Baatezu),FCII,130,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",18,Large
Scouring Slinger,MM5,144,Construct,18,Huge
Scouring Stanchion,MM5,145,Construct,18,Huge
Spirrax,MM5,166,Aberration (Extraplanar),18,Gargantuan
Hound of the Hunt,MM5,202,Magical Beast,18,Large
Ascendant Councilor,ECS,276,Deathless,18,Medium
"Behemoth, Eagle",EL,169,Outsider,18,Colossal
Blackstone Gigant,FF,21,Construct,18,Gargantuan
Chilblain,Fr,114,Aberration (Cold),18,Large
"Eladrin, Tulani",BE,171,"Outsider (Chaotic, Eladrin, Extraplanar, Good)",18,Medium
"Giant, Shadow",FF,82,Giant,18,Huge
"Golem, Demonflesh",FF,86,Construct (Extraplanar),18,Huge
"Golem, Prismatic",MM3,71,"Construct (Extraplanar, Good, Incorporeal)",18,Large
"Golem, Spiderstone",CSQ,120,Construct,18,Large
Kelvezu (Tanar'ri),MM2,60,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",18,Small
Ki-Rin,OA,170,Magical Beast,18,Huge
"Landwyrm, Desert",Dr,169,Dragon,18,Gargantuan
"Mind Flayer, Alhoon",LoM,157,Undead (Augmented Aberration),18,Medium
Nagahydra,SK,77,Aberration,18,Huge
Nightcrawler,MM,195,Undead (Extraplanar),18,Gargantuan
Ocean Strider,MM2,163,Fey (Aquatic),18,Huge
"Odopi, Elder",MM3,115,"Aberration (Chaotic, Evil, Extraplanar)",18,Gargantuan
"Siege Crab, Greater",MM3,157,Vermin (Aquatic),18,Colossal
Walking Statue of Waterdeep,CSW,139,Construct,18,Gargantuan
Xerfilstyx (Baatezu),FF,59,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",18,Huge
Yuan-ti Anathema,FF,193,Aberration,18,Huge
Molydeus,FCI,46,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",19,Large
Concordant Killer,MM4,34,Outsider (Extraplanar),19,Large
Hellfire Engine,FCII,119,Construct,19,Huge
"Behemoth, Gorilla",EL,169,Outsider,19,Huge
Century Worm,FF,31,Vermin,19,Gargantuan
Chronotyryn,FF,33,Magical Beast (Extraplanar),19,Large
Corpse Gatherer,MM2,51,Undead,19,Gargantuan
"Deathshrieker, Advanced",MM3,33,Undead (Incorporeal),19,Medium
Dokufu,OA,151,Shapechanger/Huge (Shadowlands),19,Medium
Famine Spirit,MM2,96,Undead,19,Medium
Flesh Jelly,MM2,104,Ooze,19,Gargantuan
Geriviar,MM3,52,Giant,19,Huge
"Giant, Ocean",MM2,112,"Giant (Aquatic, Cold)",19,Huge
"Inevitable, Varakhut",FF,103,"Construct (Extraplanar, Lawful)",19,Large
Marruspawn Abomination,Sa,173,Outsider (Native),19,Medium
Orb Wraith,CSQ,122,Undead,19,Huge
Ragewind,MM2,173,Undead,19,Large
"Elemental Steward, Arctine",CP,130,"Elemental (Cold, Extraplanar, Psionic, Water)",2,Small
"Elemental Steward, Emberling",CP,130,"Elemental (Extraplanar, Fire, Psionic)",2,Small
"Elemental Steward, Geodite",CP,131,"Elemental (Earth, Extraplanar, Psionic)",2,Small
"Elemental Steward, Tempestan",CP,132,"Elemental (Air, Extraplanar, Psionic)",2,Small
Bloodsilk Spider,MM4,24,Magical Beast,2,Small
Nashrou,MM4,44,"Outsider (Chaotic, Evil, Extraplanar)",2,Large
Demonhive Attendant,MM4,48,"Outsider (Evil, Extraplanar)",2,Small
Demonet Swarm,MM4,48,"Outsider (Evil, Extraplanar, Swarm)",2,Tiny
Dark Talon Soldier,MM4,83,Humanoid (Reptilian),2,Medium
Dark Talon Wasp Rider,MM4,84,Humanoid (Reptilian),2,Medium
Sailsnake,MM4,124,Animal,2,Medium
Greenspawn Leaper,MM4,144,Magical Beast (Dragonblood),2,Medium
Greenspawn Sneak,MM4,148,Monstrous Humanoid (Dragonblood),2,Small
Tomb Spider Broodswarm,MM4,164,Magical Beast (Swarm),2,Tiny
Wizened Elder,MM4,180,Plant,2,Medium
Alchemy Beetle,SX,74,Construct,2,Small
Tentacle Spider,SX,83,Aberration,2,Medium
Nupperibo,FCII,127,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",2,Medium
Dabus,EDP,192,Humanoid (Extraplanar),2,Medium
Quicksilver Lizard,DrU,133,Animal,2,Large
Gem Scarab,MM5,62,Magical Beast,2,Small
Shaedling,MM5,148,Fey,2,Medium
Tirbana Drowser,MM5,173,Magical Beast,2,Small
"Abeil, Vassal",MM2,22,Monstrous Humanoid,2,Medium
Abyssal Maw,MM2,57,"Outsider (Chaotic, Extraplanar, Evil)",2,Medium
Abyssal Skulker,MM2,57,"Outsider (Chaotic, Extraplanar, Evil)",2,Small
Anguillian,Sto,136,Aberration (Aquatic),2,Medium
"Animated Object, Medium",MM,13,Construct,2,Medium
"Ant, Giant Queen",MM,284,Vermin,2,Medium
"Ant, Giant Soldier",MM,284,Vermin,2,Medium
Ape,MM,268,Animal,2,Large
"Archon, Lantern",MM,16,"Outsider (Archon, Extraplanar, Good, Lawful)",2,Small
Ashworm,Sa,140,Magical Beast,2,Large
Azer,MM,21,"Outsider (Extraplanar, Fire)",2,Medium
Bacchae,FF,18,Outsider (Extraplanar),2,Medium
"Badger, Dire",MM,62,Animal,2,Medium
Baneguard,LE,162,Undead,2,Medium
Baneguard,Mon,17,Undead,2,Medium
Baphitaur,Und,82,Outsider (Native),2,Medium
"Bat, Dire",MM,62,Animal,2,Large
"Bear, Black",MM,269,Animal,2,Medium
"Beetle, Giant Bombadier",MM,284,Vermin,2,Medium
Bison,MM,269,Animal,2,Large
Blink Dog,MM,28,Magical Beast,2,Medium
Boar,MM,270,Animal,2,Medium
Bog Hag,OA,147,Shapechanger (Shadowlands),2,Medium
Bonebat,Mon,18,Undead,2,Medium
Branta,Fr,113,Magical Beast (Cold),2,Large
Branta,SM,120,Beast (Cold),2,Large
Bugbear,MM,29,Humanoid (Goblinoid),2,Medium
"Camel, War",Sa,193,Animal,2,Large
"Centipede, Small Spirit",OA,150,Outsider (Spirit),2,Small
"Chaggrin, Elemental Grue",CAr,153,"Elemental (Earth, Evil, Extraplanar)",2,Medium
Cheetah,MM,271,Animal,2,Medium
Choker,MM,34,Aberration,2,Small
Chosen One,Mon,27,Monstrous Humanoid,2,Medium
Cloaked Ape,MM2,46,Magical Beast,2,Medium
"Cockroach, Giant",Und,87,Vermin,2,Medium
Constrictor Snake,MM,279,Animal,2,Medium
Crawling Claw,LE,163,Construct (Swarm),2,Tiny
Crocodile,MM,271,Animal,2,Medium
Crucian,MH,58,Humanoid (Reptilian),2,Medium
Crucian,Sa,144,Humanoid,2,Medium
Death Dog,FF,41,Magical Beast,2,Medium
Desiccator,LM,94,Undead (Water,2,Small
"Dinosaur, Clawfoot",ECS,279,Animal,2,Medium
"Dinosaur, Fleshraker",MM3,40,Animal,2,Medium
Displacer Serpent,MH,60,Magical Beast,2,Medium
Dolgaunt,ECS,281,Aberration,2,Medium
"Draconian, Baaz",DCS,217,Dragon,2,Medium
Dread,LE,169,Undead,2,Small
Dread Guard,MM2,87,Construct,2,Medium
Dretch (Demon),MM,42,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",2,Small
"Dwarf, Glacier Snow Hunter",Fr,123,Humanoid (Dwarf),2,Medium
"Eladrin, Coure",BE,168,"Outsider (Chaotic, Eladrin, Extraplanar, Good)",2,Tiny
"Elemental, Small Shadow",TM,165,"Elemental (Extraplanar, Incorporeal)",2,Small
"Equine, Cormyrean Destrier",CV,154,Animal,2,Large
"Equine, Tharurr",CV,157,Animal,2,Large
"Felldrake, Spitting",MM2,98,Dragon,2,Medium
Fey'ri,Mon,72,Outsider,2,Medium
Folugub,XPH,197,Aberration,2,Medium
Frost Folk,Fr,130,Monstrous Humanoid (Cold),2,Medium
