Name,Book,Type,Subtype,Size,HD,CR,Environment,Misc
Shadow Dragon;  Young,['(Dcn p191)'],Dragon,-,Small ,10,6,Underground,Lvl +3
Styx Dragon;  Young,['(Dcn p187)'],Dragon,Aquatic;Extraplanar,Medium ,11,6,Lower Planes,Lvl +5
Tarterian Dragon;  Very Young,['(Dcn p189)'],Dragon,Extraplanar,Large ,11,6,Plane of Carceri,Lvl +5
Tungsten Dragon;  Young,['(DR356 p033)'],Dragon,Fire,Medium ,10,6,Warm Plains; Temperate Plains,Lvl +4
White Dragon;  Juvenile,['(MM p077)'],Dragon,Cold,Mediumum ,12,6,Cold Mountains,-
Wyvern,['(MM p259)'],Dragon,-,Large ,7,6,Warm Hills,-
Amethyst Dragon;  Young,['(MM2 p07) - (3.5up p32)'],Dragon,Earth,Medium ,12,7,Plane of Earth; Underground,Lvl +5
Beast Dragon;  Young,['(DR321 p050)'],Dragon,Extraplanar,Medium ,12,7,Plane of Beastlands,Lvl +4
Black Dragon;  Juvenile,['(MM p070)'],Dragon,Water,Medium ,13,7,Warm Marshes,Lvl +4
Bronze Dragon;  Young,['(MM p080)'],Dragon,Water,Medium ,12,7,Temperate Hills,Lvl +6
Chole Dragon;  Young,['(DR344 p029)'],Dragon,Extraplanar,Large ,12,7,Plane of Abyss,Lvl +8
Chromium Dragon;  Young,['(DR356 p023)'],Dragon,Cold,Mediumum ,12,7,Cold Mountain; Cold Hills; Cold Plains; Underground,Lvl +4
Cobalt Dragon;  Young,['(DR356 p025)'],Dragon,Air,Medium ,11,7,Warm Forest; Temperate Forest,Lvl +6
Concordant Dragon;  Young,['(DR321 p052)'],Dragon,Extraplanar,Medium ,11,7,Plane of Outlands,Lvl +5
Copper Dragon;  Young,['(MM p082)'],Dragon,Earth,Medium ,11,7,Warm Hills,Lvl +4
Crested Sea Serpent;  Juvenile,['(DR345 p056)'],Dragon,Water,Large ,14,7,Temperate Aquatic,Lvl +4
Dracotaur Rager;  Barbarian 4th,['(MM3 p04) - (MM3Errata)'],Dragon,-,Large ,7,7,Temperate Marshes,Lvl +5
Drake;  Ice,['(Dcn p154)'],Dragon,Air;Cold,Large ,8,7,Cold Deserts,Lvl +3
Emerald Dragon;  Young,['(MM2 p08) - (3.5up p32)'],Dragon,Air,Medium ,12,7,Plane of Air; Underground,Lvl +6
Ethereal Dragon;  Juvenile,['(Dcn p179)'],Dragon,Extraplanar,Medium ,13,7,Plane of Ethereal,Lvl +4
Gold Dragon;  Very Young,['(MM p084)'],Dragon,Fire,Large ,11,7,Warm Plains,Lvl +5
Iron Dragon;  Young,['(DR356 p029)'],Dragon,Fire,Large ,13,7,Temperate Mountain; Temperate Hill; Warm Mountain; Warm Hill; Underground,Lvl +6
Lantern Sea Serpent;  Young,['(DR345 p058)'],Dragon,Water,Large ,12,7,Temperate Aquatic,Lvl +5
Nickel Dragon;  Juvenile,['(DR356 p031)'],Dragon,Water,Medium ,13,7,Any Marsh,Lvl +4
Red Dragon;  Young,['(MM p075)'],Dragon,Fire,Large ,13,7,Warm Mountains,Lvl +6
Sand Dragon;  Juvenile,['(Sand p152)'],Dragon,Earth,Medium ,12,7,Warm Deserts,Lvl +3
Sapphire Dragon;  Young,['(MM2 p08) - (3.5up p32)'],Dragon,Earth,Medium ,11,7,Plane of Earth; Underground,Lvl +4
Silver Dragon;  Young,['(MM p086)'],Dragon,Cold,Mediumum ,13,7,Temperate Mountains,Lvl +5
Spiked Sea Serpent;  Juvenile,['(DR345 p061)'],Dragon,Water,Large ,13,7,Temperate Aquatic,Lvl +5
Steel Dragon;  Young Adult,['(DoF p140)'],Dragon,Air,Medium ,16,7,Temperate Plains,-
Tome Dragon;  Young,['(DR343 p042)'],Dragon,Air,Medium ,9,7,Any Mountains,Lvl +6
Topaz Dragon;  Young,['(MM2 p08) - (3.5up p32)'],Dragon,Water,Medium ,13,7,Plane of Water; Any Aquatic,Lvl +5
Adamantine Dragon;  Very Young,['(DR321 p044)'],Dragon,Extraplanar,Large ,12,8,Plane of Bytopia,Lvl +5
Astral Dragon;  Juvenile,['(DR344 p027)'],Dragon,Extraplanar,Large ,14,8,Plane of Astral,-
Axial Dragon;  Young,['(DR321 p048)'],Dragon,Extraplanar,Large ,12,8,Plane of Mechanus,Lvl +6
Battle Dragon;  Juvenile,['(Dcn p176)'],Dragon,Extraplanar,Large ,14,8,Plane of Ysgard,Lvl +4
Blue Dragon;  Juvenile,['(MM p072)'],Dragon,Earth,Large ,15,8,Temperate Deserts,-
Brass Dragon;  Juvenile,['(MM p079)'],Dragon,Fire,Medium ,13,8,Warm Deserts,Lvl +4
Chaos Dragon;  Juvenile,['(Dcn p177)'],Dragon,Extraplanar,Large ,15,8,Plane of Limbo,-
Crested Sea Serpent;  Young Adult,['(DR345 p056)'],Dragon,Water,Large ,17,8,Temperate Aquatic,-
Crystal Dragon;  Juvenile,['(MM2 p08) - (3.5up p32)'],Dragon,Air,Large ,14,8,Plane of Air; Temperate Mountains; Cold Mountains,-
Drake;  Water,['(Dcn p157)'],Dragon,Water;Aquatic,Large ,10,8,Temperate Aquatic,Lvl +3
Dzalmus Dragon;  Juvenile,['(DR349 p062)'],Dragon,Air,Medium ,13,8,Warm Plains; Temperate Plains,-
Elysian Dragon;  Juvenile,['(DR344 p032)'],Dragon,Extraplanar,Medium ,13,8,Plane of Elysian,-
Fang Dragon;  Young Adult,['(Dcn p159)'],Dragon,-,Large ,15,8,Temperate Mountains,-
Gloom Dragon;  Juvenile,['(DR344 p035)'],Dragon,Extraplanar,Medium ,13,8,Plane of Hades,Lvl +6
Grayhawk Dragon;  Juvenile,['(DR339 p051)'],Dragon,Air,Medium ,13,8,Any (city only),-
Green Dragon;  Juvenile,['(MM p074)'],Dragon,Air,Large ,14,8,Temperate Forests,Lvl +6
Hex Dragon;  Juvenile,['(DR343 p039)'],Dragon,Earth,Large ,13,8,Any Forest; Any Marsh; Underground,Lvl +6
Howling Dragon;  Young,['(Dcn p180)'],Dragon,Extraplanar,Large ,15,8,Plane of Pandemonium,-
Landwyrm;  Underdark,['(Dcn p175)'],Dragon,-,Large ,12,8,Underground,Lvl +2
Lantern Sea Serpent;  Juvenile,['(DR345 p058)'],Dragon,Water,Large ,15,8,Temperate Aquatic,Lvl +5
Mercury Dragon;  Young Adult,['(DoF p138)'],Dragon,Fire,Large ,15,8,Temperate Mountains,-
Mist Dragon;  Young Adult,['(DoF p142)'],Dragon,Aquatic;Water,Large ,15,8,Temperate Aquatic; Temperate Forest; Warm Aquatic; Warm Forest; Underground,-
Radiant Dragon;  Young,['(Dcn p185)'],Dragon,Extraplanar,Medium ,12,8,Plane of Celestia,-
Rust Dragon;  Juvenile,['(Dcn p186)'],Dragon,Extraplanar,Large ,15,8,Plane of Acheron,-
Shadow Dragon;  Juvenile,['(Dcn p191)'],Dragon,-,Medium ,13,8,Underground,Lvl +4
Spinewyrm;  Juvenile,['(DU110 p095)'],Dragon,Psionic,Medium ,12,8,Warm Deserts,Dark Sun
Steel Dragon;  Adult,['(DoF p140)'],Dragon,Air,Large ,19,8,Temperate Plains,-
Styx Dragon;  Juvenile,['(Dcn p187)'],Dragon,Aquatic;Extraplanar,Large ,14,8,Lower Planes,Lvl +6
Tarterian Dragon;  Young,['(Dcn p189)'],Dragon,Extraplanar,Large ,14,8,Plane of Carceri,Lvl +6
Tungsten Dragon;  Juvenile,['(DR356 p033)'],Dragon,Fire,Medium ,13,8,Warm Plains; Temperate Plains,Lvl +4
White Dragon;  Young Adult,['(MM p077)'],Dragon,Cold,Large ,15,8,Cold Mountains,-
Amethyst Dragon;  Juvenile,['(MM2 p07) - (3.5up p32)'],Dragon,Earth,Large ,15,9,Plane of Earth; Underground,-
Arboreal Dragon;  Juvenile,['(DR321 p046)'],Dragon,Extraplanar,Large ,14,9,Plane of Arborea,-
Beast Dragon;  Juvenile,['(DR321 p050)'],Dragon,Extraplanar,Large ,15,9,Plane of Beastlands,-
Black Dragon;  Young Adult,['(MM p070)'],Dragon,Water,Large ,16,9,Warm Marshes,-
Brainstealer Dragon;  Young,['(DR337 p025)'],Dragon,Earth,Large ,13,9,Underground,Lvl +6
Bronze Dragon;  Juvenile,['(MM p080)'],Dragon,Water,Large ,15,9,Temperate Hills,-
Chole Dragon;  Juvenile,['(DR344 p029)'],Dragon,Extraplanar,Large ,15,9,Plane of Abyss,-
Chromium Dragon;  Juvenile,['(DR356 p023)'],Dragon,Cold,Mediumum ,15,9,Cold Mountain; Cold Hills; Cold Plains; Underground,Lvl +4
Cobalt Dragon;  Juvenile,['(DR356 p025)'],Dragon,Air,Large ,14,9,Warm Forest; Temperate Forest,-
Copper Dragon;  Juvenile,['(MM p082)'],Dragon,Earth,Medium ,14,9,Warm Hills,Lvl +4
Dragon Turtle,['(MM p088)'],Dragon,Aquatic,Huge ,12,9,Temperate Aquatic,-
Drake;  Rage,['(MM3 p130)'],Dragon,-,Large ,14,9,Cold Forests,-
Drake;  Smoke,['(Dcn p157)'],Dragon,Air;Fire,Large ,12,9,Underground,Lvl +3
Emerald Dragon;  Juvenile,['(MM2 p08) - (3.5up p32)'],Dragon,Air,Large ,15,9,Plane of Air; Underground,-
Ethereal Dragon;  Young Adult,['(Dcn p179)'],Dragon,Extraplanar,Large ,16,9,Plane of Ethereal,-
Gold Dragon;  Young,['(MM p084)'],Dragon,Fire,Large ,14,9,Warm Plains,Lvl +6
Nickel Dragon;  Young Adult,['(DR356 p031)'],Dragon,Water,Large ,16,9,Any Marsh,-
Oceanus Dragon;  Juvenile,['(Dcn p181)'],Dragon,Aquatic;Extraplanar,Large ,16,9,Upper Planes,-
Pyroclastic Dragon;  Juvenile,['(Dcn p182)'],Dragon,Extraplanar,Large ,16,9,Plane of Gehenna,-
Remorhaz;  Half-White Dragon,['(Frost p196)'],Dragon,AugmentedMagicalBeast,Huge ,7,9,Cold Desert,Template - Half-Dragon; ; White
Sand Dragon;  Young Adult,['(Sand p152)'],Dragon,Earth,Large ,15,9,Warm Deserts,Lvl +4
Sapphire Dragon;  Juvenile,['(MM2 p08) - (3.5up p32)'],Dragon,Earth,Medium ,14,9,Plane of Earth; Underground,Lvl +4
Spiked Sea Serpent;  Young Adult,['(DR345 p061)'],Dragon,Water,Large ,16,9,Temperate Aquatic,-
Spinewyrm;  Young Adult,['(DU110 p095)'],Dragon,Psionic,Large ,15,9,Warm Deserts,Dark Sun
Wardrake,['(DR309 p033)'],Dragon,-,Huge ,15,9,Any,-
Adamantine Dragon;  Young,['(DR321 p044)'],Dragon,Extraplanar,Large ,15,10,Plane of Bytopia,-
Axial Dragon;  Juvenile,['(DR321 p048)'],Dragon,Extraplanar,Large ,15,10,Plane of Mechanus,-
Battle Dragon;  Young Adult,['(Dcn p176)'],Dragon,Extraplanar,Large ,17,10,Plane of Ysgard,-
Brainstealer Dragon;  Juvenile,['(DR337 p025)'],Dragon,Earth,Large ,16,10,Underground,-
Brass Dragon;  Young Adult,['(MM p079)'],Dragon,Fire,Large ,16,10,Warm Deserts,-
Concordant Dragon;  Juvenile,['(DR321 p052)'],Dragon,Extraplanar,Medium ,14,10,Plane of Outlands,-
Drake;  Fire,['(Dcn p154)'],Dragon,Fire,Large ,14,10,Warm Hills,Lvl +3
Dzalmus Dragon;  Young Adult,['(DR349 p062)'],Dragon,Air,Medium ,16,10,Warm Plains; Temperate Plains,-
Elysian Dragon;  Young Adult,['(DR344 p032)'],Dragon,Extraplanar,Large ,16,10,Plane of Elysian,-
Ethereal Dragon;  Adult,['(Dcn p179)'],Dragon,Extraplanar,Large ,19,10,Plane of Ethereal,-
Fang Dragon;  Adult,['(Dcn p159)'],Dragon,-,Large ,18,10,Temperate Mountains,-
Gloom Dragon;  Young Adult,['(DR344 p035)'],Dragon,Extraplanar,Large ,16,10,Plane of Hades,-
Grayhawk Dragon;  Young Adult,['(DR339 p051)'],Dragon,Air,Medium ,16,10,Any (city only) ,-
Hex Dragon;  Young Adult,['(DR343 p039)'],Dragon,Earth,Large ,16,10,Any Forest; Any Marsh; Underground,-
Howling Dragon;  Juvenile,['(Dcn p180)'],Dragon,Extraplanar,Large ,18,10,Plane of Pandemonium,-
Iron Dragon;  Juvenile,['(DR356 p029)'],Dragon,Fire,Large ,16,10,Temperate Mountain; Temperate Hill; Warm Mountain; Warm Hill; Underground,-
Landwyrm;  Forest,['(Dcn p170)'],Dragon,-,Large ,16,10,Temperate Forests,-
Lantern Sea Serpent;  Young Adult,['(DR345 p058)'],Dragon,Water,Large ,18,10,Temperate Aquatic,-
Mercury Dragon;  Adult,['(DoF p138)'],Dragon,Fire,Large ,18,10,Temperate Mountains,-
Mist Dragon;  Adult,['(DoF p142)'],Dragon,Aquatic;Water,Large ,18,10,Temperate Aquatic; Temperate Forest; Warm Aquatic; Warm Forest; Underground,-
Radiant Dragon;  Juvenile,['(Dcn p185)'],Dragon,Extraplanar,Large ,15,10,Plane of Celestia,-
Red Dragon;  Juvenile,['(MM p075)'],Dragon,Fire,Large ,16,10,Warm Mountains,-
Silver Dragon;  Juvenile,['(MM p086)'],Dragon,Cold,Large ,16,10,Temperate Mountains,-
Ssvaklor,['(MM3 p166)'],Dragon,Psionic,Medium ,15,10,Temperate Marshes,-
Styx Dragon;  Young Adult,['(Dcn p187)'],Dragon,Aquatic;Extraplanar,Large ,17,10,Lower Planes,-
Tarterian Dragon;  Juvenile,['(Dcn p189)'],Dragon,Extraplanar,Large ,17,10,Plane of Carceri,-
Tome Dragon;  Juvenile,['(DR343 p042)'],Dragon,Air,Medium ,12,10,Any Mountains,Lvl +7
Topaz Dragon;  Juvenile,['(MM2 p08) - (3.5up p32)'],Dragon,Water,Large ,16,10,Plane of Water; Any Aquatic,-
Tungsten Dragon;  Young Adult,['(DR356 p033)'],Dragon,Fire,Large ,16,10,Warm Plains; Temperate Plains,-
White Dragon;  Adult,['(MM p077)'],Dragon,Cold,Large ,18,10,Cold Mountains,-
Astral Dragon;  Young Adult,['(DR344 p027)'],Dragon,Extraplanar,Huge ,17,11,Plane of Astral,-
Black Dragon;  Adult,['(MM p070)'],Dragon,Water,Large ,19,11,Warm Marshes,-
Blue Dragon;  Young Adult,['(MM p072)'],Dragon,Earth,Large ,18,11,Temperate Deserts,-
Chaos Dragon;  Young Adult,['(Dcn p177)'],Dragon,Extraplanar,Large ,18,11,Plane of Limbo,-
Cobalt Dragon;  Young Adult,['(DR356 p025)'],Dragon,Air,Large ,17,11,Warm Forest; Temperate Forest,-
Copper Dragon;  Young Adult,['(MM p082)'],Dragon,Earth,Large ,17,11,Warm Hills,-
Crested Sea Serpent;  Adult,['(DR345 p056)'],Dragon,Water,Huge ,20,11,Temperate Aquatic,-
Crystal Dragon;  Young Adult,['(MM2 p08) - (3.5up p32)'],Dragon,Air,Large ,17,11,Plane of Air; Temperate Mountains; Cold Mountains,-
Dragon Eel,['(MM3 p044)'],Dragon,Aquatic,Large ,14,11,Temperate Aquatic,-
Drake;  Earth,['(Dcn p153)'],Dragon,Earth,Large ,12,11,Temperate Mountains,Lvl +3
Gold Dragon;  Juvenile,['(MM p084)'],Dragon,Fire,Large ,17,11,Warm Plains,-
Green Dragon;  Young Adult,['(MM p074)'],Dragon,Air,Large ,17,11,Temperate Forests,-
Nickel Dragon;  Adult,['(DR356 p031)'],Dragon,Water,Large ,19,11,Any Marsh,-
Rust Dragon;  Young Adult,['(Dcn p186)'],Dragon,Extraplanar,Large ,18,11,Plane of Acheron,-
Sapphire Dragon;  Young Adult,['(MM2 p08) - (3.5up p32)'],Dragon,Earth,Large ,17,11,Plane of Earth; Underground,-
Shadow Dragon;  Young Adult,['(Dcn p191)'],Dragon,-,Medium ,16,11,Underground,-
Spiked Sea Serpent;  Adult,['(DR345 p061)'],Dragon,Water,Large ,19,11,Temperate Aquatic,-
Spinewyrm;  Adult,['(DU110 p095)'],Dragon,Psionic,Large ,18,11,Warm Deserts,Dark Sun
Steel Dragon;  Mature Adult,['(DoF p140)'],Dragon,Air,Large ,22,11,Temperate Plains,-
Adamantine Dragon;  Juvenile,['(DR321 p044)'],Dragon,Extraplanar,Large ,18,12,Plane of Bytopia,-
Amethyst Dragon;  Young Adult,['(MM2 p07) - (3.5up p32)'],Dragon,Earth,Large ,18,12,Plane of Earth; Underground,-
Arboreal Dragon;  Young Adult,['(DR321 p046)'],Dragon,Extraplanar,Large ,17,12,Plane of Arborea,-
Battle Dragon;  Adult,['(Dcn p176)'],Dragon,Extraplanar,Large ,20,12,Plane of Ysgard,-
Beast Dragon;  Young Adult,['(DR321 p050)'],Dragon,Extraplanar,Large ,18,12,Plane of Beastlands,-
Brainstealer Dragon;  Young Adult,['(DR337 p025)'],Dragon,Earth,Huge ,19,12,Underground,-
Brass Dragon;  Adult,['(MM p079)'],Dragon,Fire,Large ,19,12,Warm Deserts,-
Bronze Dragon;  Young Adult,['(MM p080)'],Dragon,Water,Large ,18,12,Temperate Hills,-
Chole Dragon;  Young Adult,['(DR344 p029)'],Dragon,Extraplanar,Huge ,18,12,Plane of Abyss,-
Chromium Dragon;  Young Adult,['(DR356 p023)'],Dragon,Cold,Large ,18,12,Cold Mountain; Cold Hills; Cold Plains; Underground,-
Concordant Dragon;  Young Adult,['(DR321 p052)'],Dragon,Extraplanar,Large ,17,12,Plane of Outlands,-
Drake;  Ooze,['(Dcn p156)'],Dragon,Earth;Water;Aquatic,Large ,12,12,Cold Marshes,Lvl +3
Dzalmus Dragon;  Adult,['(DR349 p062)'],Dragon,Air,Large ,19,12,Warm Plains; Temperate Plains,-
Elysian Dragon;  Adult,['(DR344 p032)'],Dragon,Extraplanar,Large ,19,12,Plane of Elysian,-
Emerald Dragon;  Young Adult,['(MM2 p08) - (3.5up p32)'],Dragon,Air,Large ,18,12,Plane of Air; Underground,-
Fang Dragon;  Mature Adult,['(Dcn p159)'],Dragon,-,Huge ,21,12,Temperate Mountains,-
Gloom Dragon;  Adult,['(DR344 p035)'],Dragon,Extraplanar,Large ,19,12,Plane of Hades,-
Grayhawk Dragon;  Adult,['(DR339 p051)'],Dragon,Air,Large ,19,12,Any (city only),-
Hex Dragon;  Adult,['(DR343 p039)'],Dragon,Earth,Huge ,19,12,Any Forest; Any Marsh; Underground,-
Landwyrm;  Hill,['(Dcn p170)'],Dragon,-,Huge ,20,12,Temperate Hills,-
Lantern Sea Serpent;  Adult,['(DR345 p058)'],Dragon,Water,Huge ,21,12,Temperate Aquatic,-
Mercury Dragon;  Mature Adult,['(DoF p138)'],Dragon,Fire,Huge ,21,12,Temperate Mountains,-
Mist Dragon;  Mature Adult,['(DoF p142)'],Dragon,Aquatic;Water,Huge ,21,12,Temperate Aquatic; Temperate Forest; Warm Aquatic; Warm Forest; Underground,-
Oceanus Dragon;  Young Adult,['(Dcn p181)'],Dragon,Aquatic;Extraplanar,Large ,19,12,Upper Planes,-
Pyroclastic Dragon;  Young Adult,['(Dcn p182)'],Dragon,Extraplanar,Huge ,19,12,Plane of Gehenna,-
Sand Dragon;  Adult,['(Sand p152)'],Dragon,Earth,Large ,18,12,Warm Deserts,-
Steel Dragon;  Old,['(DoF p140)'],Dragon,Air,Large ,25,12,Temperate Plains,-
Styx Dragon;  Adult,['(Dcn p187)'],Dragon,Aquatic;Extraplanar,Huge ,20,12,Lower Planes,-
Tungsten Dragon;  Adult,['(DR356 p033)'],Dragon,Fire,Large ,19,12,Warm Plains; Temperate Plains,-
White Dragon;  Mature Adult,['(MM p077)'],Dragon,Cold,Huge ,21,12,Cold Mountains,-
Arboreal Dragon;  Adult,['(DR321 p046)'],Dragon,Extraplanar,Huge ,20,13,Plane of Arborea,-
Astral Dragon;  Adult,['(DR344 p027)'],Dragon,Extraplanar,Huge ,20,13,Plane of Astral,-
Axial Dragon;  Young Adult,['(DR321 p048)'],Dragon,Extraplanar,Huge ,18,13,Plane of Mechanus,-
Chaos Dragon;  Adult,['(Dcn p177)'],Dragon,Extraplanar,Huge ,21,13,Plane of Limbo,-
Crested Sea Serpent;  Mature Adult,['(DR345 p056)'],Dragon,Water,Huge ,23,13,Temperate Aquatic,-
Crystal Dragon;  Adult,['(MM2 p08) - (3.5up p32)'],Dragon,Air,Huge ,20,13,Plane of Air; Temperate Mountains; Cold Mountains,-
Drake;  Magma,['(Dcn p155)'],Dragon,Earth;Fire,Large ,16,13,Warm Mountains,Lvl +3
Drake;  Rage;  Fiendish,['(MM3 p13) - (MM3Errata) - (Eb p97)+'],Dragon,-,Large ,21,13,Cold Forests; Plane of Lamannia,Template - Fiendish; Advanced
Ethereal Dragon;  Mature Adult,['(Dcn p179)'],Dragon,Extraplanar,Huge ,22,13,Plane of Ethereal,-
Green Dragon;  Adult,['(MM p074)'],Dragon,Air,Huge ,20,13,Temperate Forests,-
Howling Dragon;  Young Adult,['(Dcn p180)'],Dragon,Extraplanar,Huge ,21,13,Plane of Pandemonium,-
Iron Dragon;  Young Adult,['(DR356 p029)'],Dragon,Fire,Huge ,19,13,Temperate Mountain; Temperate Hill; Warm Mountain; Warm Hill; Underground,-
"Lammasu;  Celestial Half-Gold Dragon (aka ""Golden Protector"")",['(MM p166)'],Dragon,-,Large ,10,13,Plane of Celestia,Template - Half-Dragon;  Gold; Advanced; Lvl +10
Oceanus Dragon;  Adult,['(Dcn p181)'],Dragon,Aquatic;Extraplanar,Huge ,22,13,Upper Planes,-
Pyroclastic Dragon;  Adult,['(Dcn p182)'],Dragon,Extraplanar,Huge ,22,13,Plane of Gehenna,-
Radiant Dragon;  Young Adult,['(Dcn p185)'],Dragon,Extraplanar,Large ,18,13,Plane of Celestia,-
Red Dragon;  Young Adult,['(MM p075)'],Dragon,Fire,Huge ,19,13,Warm Mountains,-
Rust Dragon;  Adult,['(Dcn p186)'],Dragon,Extraplanar,Huge ,21,13,Plane of Acheron,-
Shadow Dragon;  Adult,['(Dcn p191)'],Dragon,-,Large ,19,13,Underground,-
Silver Dragon;  Young Adult,['(MM p086)'],Dragon,Cold,Large ,19,13,Temperate Mountains,-
Spinewyrm;  Mature Adult,['(DU110 p095)'],Dragon,Psionic,Huge ,21,13,Warm Deserts,Dark Sun
Steel Dragon;  Very Old,['(DoF p140)'],Dragon,Air,Huge ,28,13,Temperate Plains,-
Tarterian Dragon;  Young Adult,['(Dcn p189)'],Dragon,Extraplanar,Huge ,20,13,Plane of Carceri,-
Tome Dragon;  Young Adult,['(DR343 p042)'],Dragon,Air,Large ,15,13,Any Mountains,-
Topaz Dragon;  Young Adult,['(MM2 p08) - (3.5up p32)'],Dragon,Water,Large ,19,13,Plane of Water; Any Aquatic,-
Battle Dragon;  Mature Adult,['(Dcn p176)'],Dragon,Extraplanar,Huge ,23,14,Plane of Ysgard,-
Black Dragon;  Mature Adult,['(MM p070)'],Dragon,Water,Huge ,22,14,Warm Marshes,-
Blue Dragon;  Adult,['(MM p072)'],Dragon,Earth,Huge ,21,14,Temperate Deserts,-
Brainstealer Dragon;  Adult,['(DR337 p025)'],Dragon,Earth,Huge ,22,14,Underground,-
Chole Dragon;  Adult,['(DR344 p029)'],Dragon,Extraplanar,Huge ,21,14,Plane of Abyss,-
Cobalt Dragon;  Adult,['(DR356 p025)'],Dragon,Air,Huge ,20,14,Warm Forest; Temperate Forest,-
Copper Dragon;  Adult,['(MM p082)'],Dragon,Earth,Large ,20,14,Warm Hills,-
Drake;  Ambush;  Advanced,['(DU142 p072)'],Dragon,-,Large ,16,14,Temperate Plains,-
Elysian Dragon;  Mature Adult,['(DR344 p032)'],Dragon,Extraplanar,Huge ,22,14,Plane of Elysian,-
Gloom Dragon;  Mature Adult,['(DR344 p035)'],Dragon,Extraplanar,Huge ,22,14,Plane of Hades,-
Gold Dragon;  Young Adult,['(MM p084)'],Dragon,Fire,Huge ,20,14,Warm Plains,-
Howling Dragon;  Adult,['(Dcn p180)'],Dragon,Extraplanar,Huge ,24,14,Plane of Pandemonium,-
Landwyrm;  Tundra,['(Dcn p174)'],Dragon,-,Huge ,24,14,Cold Plains,-
Lantern Sea Serpent;  Mature Adult,['(DR345 p058)'],Dragon,Water,Huge ,24,14,Temperate Aquatic,-
Nickel Dragon;  Mature Adult,['(DR356 p031)'],Dragon,Water,Huge ,22,14,Any Marsh,-
Radiant Dragon;  Adult,['(Dcn p185)'],Dragon,Extraplanar,Huge ,21,14,Plane of Celestia,-
Sand Dragon;  Mature Adult,['(Sand p152)'],Dragon,Earth,Huge ,21,14,Warm Deserts,-
Sapphire Dragon;  Adult,['(MM2 p08) - (3.5up p32)'],Dragon,Earth,Large ,20,14,Plane of Earth; Underground,-
Spiked Sea Serpent;  Mature Adult,['(DR345 p061)'],Dragon,Water,Huge ,22,14,Temperate Aquatic,-
Styx Dragon;  Mature Adult,['(Dcn p187)'],Dragon,Aquatic;Extraplanar,Huge ,23,14,Lower Planes,-
Sunwyrm,['(FF p16) - (3.5up p24)'],Dragon,-,Large ,12,14,Warm Deserts; Warm Plains,-
Tarterian Dragon;  Adult,['(Dcn p189)'],Dragon,Extraplanar,Huge ,23,14,Plane of Carceri,-
Adamantine Dragon;  Young Adult,['(DR321 p044)'],Dragon,Extraplanar,Huge ,21,15,Plane of Bytopia,-
Amethyst Dragon;  Adult,['(MM2 p07) - (3.5up p32)'],Dragon,Earth,Huge ,21,15,Plane of Earth; Underground,-
Astral Dragon;  Mature Adult,['(DR344 p027)'],Dragon,Extraplanar,Huge ,23,15,Plane of Astral,-
Beast Dragon;  Adult,['(DR321 p050)'],Dragon,Extraplanar,Huge ,21,15,Plane of Beastlands,-
Brass Dragon;  Mature Adult,['(MM p079)'],Dragon,Fire,Huge ,22,15,Warm Deserts,-
Bronze Dragon;  Adult,['(MM p080)'],Dragon,Water,Huge ,21,15,Temperate Hills,-
Chaos Dragon;  Mature Adult,['(Dcn p177)'],Dragon,Extraplanar,Huge ,24,15,Plane of Limbo,-
Chromium Dragon;  Adult,['(DR356 p023)'],Dragon,Cold,Large ,21,15,Cold Mountain; Cold Hills; Cold Plains; Underground,-
Concordant Dragon;  Adult,['(DR321 p052)'],Dragon,Extraplanar,Large ,20,15,Plane of Outlands,-
Crested Sea Serpent;  Old,['(DR345 p056)'],Dragon,Water,Huge ,26,15,Temperate Aquatic,-
Drake;  Sea,['(FF p147)'],Dragon,Aquatic,Gargantuan ,12,15,Any Aquatic,-
Dzalmus Dragon;  Mature Adult,['(DR349 p062)'],Dragon,Air,Large ,22,15,Warm Plains; Temperate Plains,-
Emerald Dragon;  Adult,['(MM2 p08) - (3.5up p32)'],Dragon,Air,Huge ,21,15,Plane of Air; Underground,-
Ethereal Dragon;  Old,['(Dcn p179)'],Dragon,Extraplanar,Huge ,25,15,Plane of Ethereal,-
Fang Dragon;  Old,['(Dcn p159)'],Dragon,-,Huge ,24,15,Temperate Mountains,-
Grayhawk Dragon;  Mature Adult,['(DR339 p051)'],Dragon,Air,Large ,22,15,Any (city only),-
Hex Dragon;  Mature Adult,['(DR343 p039)'],Dragon,Earth,Huge ,22,15,Any Forest; Any Marsh; Underground,-
Iron Dragon;  Adult,['(DR356 p029)'],Dragon,Fire,Huge ,22,15,Temperate Mountain; Temperate Hill; Warm Mountain; Warm Hill; Underground,-
Mercury Dragon;  Old,['(DoF p138)'],Dragon,Fire,Huge ,24,15,Temperate Mountains,-
Mist Dragon;  Old,['(DoF p142)'],Dragon,Aquatic;Water,Huge ,24,15,Temperate Aquatic; Temperate Forest; Warm Aquatic; Warm Forest; Underground,-
Red Dragon;  Adult,['(MM p075)'],Dragon,Fire,Huge ,22,15,Warm Mountains,-
Rust Dragon;  Mature Adult,['(Dcn p186)'],Dragon,Extraplanar,Huge ,24,15,Plane of Acheron,-
Silver Dragon;  Adult,['(MM p086)'],Dragon,Cold,Huge ,22,15,Temperate Mountains,-
